date,message,sender_id
2025-01-21 14:10:38+00:00,"I'd be very surprised if this does not hit minimum 50-60m which is 10x from Jamie's shill 

He has mad hit rate",-1002243200666
2025-01-21 13:57:46+00:00,"First gamble in a hot sec 

Lots of smart people I know entered

New potential meta if it catches on 40M volume shows theres lots of interest in this narrative

https://dexscreener.com/solana/aeoknuwjeu6xhkeyksqfba8ovtohdjmcnchc1rcexn8j

https://x.com/NewsyJohnson/status/1881691644829040677",-1002243200666
2025-01-21 13:55:07+00:00,"Aped super hard, find dips. 

7MxBy391erAtPnjUH6ZJsjJzk2pNxCqLFKNowXF1pump

Jamie shilled something after months and he is 9 figs so worth a punt",-1002243200666
2025-01-21 13:46:37+00:00,"ZachXBT spent 5 years studying the best scammers and extractors and then applied that knowledge to extract 5m in 1 hour 

poetic",-1002243200666
2025-01-21 13:37:47+00:00,"$TRUMP twitter handle shilling $AIB 

https://x.com/gettrumpmemes/status/1881693734351536417?s=46

100m soon",-1002243200666
2025-01-21 13:34:26+00:00,This feels better than a 6 fig PNL,-1002243200666
2025-01-21 13:02:27+00:00,"MICROSTRATEGY ACQUIRES ANOTHER 11,000 BITCOIN: FILING

🔗 [velo.xyz](https://velo.xyz/news/953)",-1002243200666
2025-01-21 12:02:23+00:00,,-1002243200666
2025-01-21 11:46:17+00:00,https://x.com/missoralways/status/1881669607477715448,-1002243200666
2025-01-21 11:39:25+00:00,100k to 4.5m —> 45x on $DOGE,-1002243200666
2025-01-21 11:35:54+00:00,"Mooning and dev just nuked, send it.",-1002243200666
2025-01-21 11:30:49+00:00,Gamble,-1002243200666
2025-01-21 11:30:46+00:00,"https://doge.gov/

9RNBNtDj5WJFJnBypJbqgxHVLqCivg1yMDmCX9ympump",-1002243200666
2025-01-21 11:13:10+00:00,"GM

https://x.com/missoralways/status/1881657887703118320",-1002243200666
2025-01-21 02:40:24+00:00,"https://x.com/EricTrump/status/1881532099334975533

$AIB",-1002243200666
2025-01-20 23:33:46+00:00,its hacked dont ape MAGA,-1002243200666
2025-01-20 23:26:54+00:00,https://x.com/i/broadcasts/1YpKkllqyAEGj,-1002243200666
2025-01-20 22:27:59+00:00,Added more $AIB bc nothing else to bid today and the single sided pools are decreasing — maybe the narrative can finally play out soon,-1002243200666
2025-01-20 22:24:12+00:00,,-1002243200666
2025-01-20 22:22:46+00:00,"https://x.com/POTUS 

Check the pinned tweet",-1002243200666
2025-01-20 21:51:27+00:00,lets see how this looks in a few days,-1002243200666
2025-01-20 21:36:34+00:00,"Wont post ca yet since dev wallet still holds alot of supply 

but they sent tate 6.9%",-1002243200666
2025-01-20 21:34:44+00:00,Issa launched?,-1002243200666
2025-01-20 21:30:03+00:00,Any Tateler coins to bid?,-1002243200666
2025-01-20 20:41:00+00:00,,-1002243200666
2025-01-20 20:37:35+00:00,Donald trump’s assistant,-1002243200666
2025-01-20 20:37:03+00:00,https://x.com/presssec/status/1881440753223868789?s=46,-1002243200666
2025-01-20 20:31:10+00:00,"MAGA chart for reference 

$AIB will cook give it time",-1002243200666
2025-01-20 20:22:38+00:00,https://x.com/solidintel_x/status/1881435350951940517,-1002243200666
2025-01-20 20:21:14+00:00,7vR41UroKdbvHREJK7NeAvRU6vruwDLY2ritpyAVpump,-1002243200666
2025-01-20 20:07:42+00:00,"Maga went to what 1 billion? 

You think $AIB the new presidential slogan and the banner for POTUS and White house won't do 10% of that?",-1002243200666
2025-01-20 19:19:14+00:00,"**AMERICA IS BACK. ****🇺🇸**

Every single day I will be fighting for you with every breath in my body. I will not rest until we have delivered the strong, safe and prosperous America that our children deserve and that you deserve. This will truly be the golden age of America.",-1002243200666
2025-01-20 19:05:30+00:00,One of the greatest on chain trader I know just aped $AIB,-1002243200666
2025-01-20 18:58:06+00:00,"Looks like a 100m narrative 

https://x.com/elonmusk/status/1881415565065224194

5GfXzzdxUZ4QEwwa5hhBMEazFSp9EhtYvm8RFLxrgyVc",-1002243200666
2025-01-20 18:24:39+00:00,,-1002243200666
2025-01-20 18:24:12+00:00,"One last dance before the music stops. 

LOCK IN!",-1002243200666
2025-01-20 18:13:09+00:00,- Pelosi went long with a year expiry,-1002243200666
2025-01-20 18:02:21+00:00,"Trump mentioning crypto would probably be a sell the news event.

It is 99% clear he will do plenty of stuff within this industry if not demonstrated by the past 72 hours.

Today is day 1.

Calm down.",-1002243200666
2025-01-20 17:55:38+00:00,"Trump purchased 47M worth of BTC just now and you think its over?

https://x.com/BitcoinMagazine/status/1881396515547324912",-1002243200666
2025-01-20 17:08:22+00:00,Manipulation before new highs,-1002243200666
2025-01-20 17:06:16+00:00,Prepare for war,-1002243200666
2025-01-20 17:06:13+00:00,CRYPTO NOT MENTIONED AS IMMEDIATE PRIORITY IN DOCUMENT SENT BY REPUBLICAN LAWMAKERS: PUNCHBOWL https://x.com/JakeSherman/status/1881386387305627955,-1002243200666
2025-01-20 17:02:38+00:00,CQeLUzZktFcDa5kJfa844kxK51X7BzxorVDGqLvpump,-1002243200666
2025-01-20 16:55:56+00:00,Barron and Shkreli are going to do insane amounts of crime starting today,-1002243200666
2025-01-20 16:43:09+00:00,7-8x on infinite LP again,-1002243200666
2025-01-20 16:02:38+00:00,Wow,-1002243200666
2025-01-20 16:00:37+00:00,"Gambled 

71mkdD5mtg6nMaLiawqQ3RvBE1MCM8qTaGgXaCLspump

https://x.com/sunnya97/status/1881367803254698469?s=46

Dude is followed by Pmarca and toly",-1002243200666
2025-01-20 15:56:56+00:00,"Sentiments across the board are bearish, people calling for cycle top which is retarded.

I understand derisking to mitigate risk. But to be a bear right now is insane. 

We might see a small blow off top today or in the next few days but the music won’t stop for atleast 4-8 weeks. 

Make the most of the last dance. 

See you in the order books.",-1002243200666
2025-01-20 14:47:33+00:00,GM,-1002243200666
2025-01-20 07:08:59+00:00,"https://www.lummis.senate.gov/wp-content/uploads/BITCOIN-Act-FINAL.pdf


See you at 1B",-1002243200666
2025-01-20 07:03:12+00:00,"Alpha I believe $SBR

2HHgCLfKA5Rd1Fn9xAxfYzS3XoR5NnuxKDYz2EmWpump

100m in a day I guess",-1002243200666
2025-01-20 05:51:33+00:00,"New logo for a16z

https://x.com/pmarca/status/1881217283399553196",-1002243200666
2025-01-20 05:51:14+00:00,"THIS

HLiU2MegSdLkQpQrvbgc5EXTW7cUtj7M6q4bwMW2pump",-1002243200666
2025-01-20 05:20:28+00:00,Already 4x and sending,-1002243200666
2025-01-20 05:20:24+00:00,https://x.com/pmarca/status/1881208582324322341?s=46,-1002243200666
2025-01-20 05:18:55+00:00,m5Mp8ADpKppNfABmQKsF4NhPBuUdkc23dGR3miQpump,-1002243200666
2025-01-20 01:09:35+00:00,"Just survive January and sell in feb-march, bright times ahead.",-1002243200666
2025-01-20 01:00:15+00:00,its over,-1002243200666
2025-01-20 01:00:13+00:00,236.68$,-1002243200666
2025-01-20 00:25:38+00:00,"Trump just RT'd this again, another soft shill?

https://x.com/realDonaldTrump/status/1880446012168249386",-1002243200666
2025-01-19 23:36:43+00:00,"wild turn of events but gonna let it play out, narrative is relevant despite PA.",-1002243200666
2025-01-19 23:17:12+00:00,"A lot of dips on good ones, place your bets and manage your risk. Everything should bounce once the chaos settles.",-1002243200666
2025-01-19 23:03:33+00:00,,-1002243200666
2025-01-19 23:01:59+00:00,Trump keeps saying WIN,-1002243200666
2025-01-19 23:01:51+00:00,"EMtWBVRmYnHTkitU4PnpfamD7yfPkUxHvi23aZyZpump

Should cook hard",-1002243200666
2025-01-19 22:51:37+00:00,Real market cap is 10% of FDV so like 600m right now,-1002243200666
2025-01-19 22:51:07+00:00,"Not really a fan of how things are looking right now but game is game 

Took a chance",-1002243200666
2025-01-19 22:42:23+00:00,"Trump launched a coin for his wife and entire on chain is in chaos, women. LOL.",-1002243200666
2025-01-19 22:41:37+00:00,"Okay, what’s happening?",-1002243200666
